accession_1	lysine_ct	accession_2	delta_mass	modification	
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	6270.63_Da_E10 P04650_2full51_1G_P1_1T Unmodified	114.06	114.06 Acetone Artifact; Ox
6318.61_Da_E474 P04650_2full51_1G_P12_1T Ox; Ox; Ox	8	6270.63_Da_E10 P04650_2full51_1G_P1_1T Unmodified	47.99	47.99 Ox; Ox; Ox
6354.69_Da_E756 P04650_2full51_1G_P1_1T Missing Alanine (A); Acetone Artifact; Carbamidomethyl	8	6270.63_Da_E10 P04650_2full51_1G_P1_1T Unmodified	84.05	84.05 Acetyl; Acetyl
6384.62_Da_E411 P04650_2full51_1G_P1_1T Sulfate Adduct; Ox	8	6270.63_Da_E10 P04650_2full51_1G_P1_1T Unmodified	113.98	113.98 Sulfate Adduct; Ox
6310.66_Da_E1787	8	6270.63_Da_E10 P04650_2full51_1G_P1_1T Unmodified	40.03	40.03
6199.6_Da_E426 P04650_2full51_1G_P1_1T Missing Alanine (A)	8	P04650_2full51_1G_P1_1T Unmodified	-71.04	-71.04 Missing Alanine (A)
6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	8	P04650_2full51_1G_P1_1T Unmodified	-113.08	-113.08 Missing Isoleucine (I)
6157.54_Da_E1727 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	8	P04650_2full51_1G_P1_1T Unmodified	-113.08	-113.08 Missing Isoleucine (I)
6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	8	P04650_2full51_1G_P1_1T Unmodified	0.00	0.00
6368.7_Da_E1761 P04650_2full51_1G_P1_1T Acetone Artifact	8	P04650_2full51_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6368.7_Da_E320 P04650_2full51_1G_P1_1T Acetone Artifact	8	P04650_2full51_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6368.59_Da_E470 P04650_2full51_1G_P1_1T Sulfate Adduct	8	P04650_2full51_1G_P1_1T Unmodified	97.96	97.96 Sulfate Adduct
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	6368.7_Da_E320 P04650_2full51_1G_P1_1T Acetone Artifact	16.00	16.00 Ox
6368.7_Da_E320 P04650_2full51_1G_P1_1T Acetone Artifact	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	82.07	82.07
6368.7_Da_E320 P04650_2full51_1G_P1_1T Acetone Artifact	8	6310.66_Da_E1787	58.04	58.04
6368.7_Da_E320 P04650_2full51_1G_P1_1T Acetone Artifact	8	6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	211.15	211.15
6368.7_Da_E320 P04650_2full51_1G_P1_1T Acetone Artifact	8	6354.69_Da_E756 P04650_2full51_1G_P1_1T Missing Alanine (A); Acetone Artifact; Carbamidomethyl	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	8	P04650_2full51_1G_P2_1T Ox	0.00	0.00
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	98.07	98.07 Acetone Artifact
6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	16.00	16.00 Ox
6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	8	6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	8	6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
6318.61_Da_E474 P04650_2full51_1G_P12_1T Ox; Ox; Ox	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	31.99	31.99 Ox; Ox
6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	8	6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	129.08	129.08
6334.61_Da_E777 P04650_2full51_1G_P12_1T Ox; Ox; Ox; Ox	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	47.99	47.99 Ox; Ox; Ox
6400.59_Da_E1591 P04650_2full51_1G_P14_1T Ammonia loss; Ox; Retained Met	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	113.98	113.98 Sulfate Adduct; Ox
6384.62_Da_E411 P04650_2full51_1G_P1_1T Sulfate Adduct; Ox	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	97.99	97.99 Sulfate Adduct
6354.69_Da_E756 P04650_2full51_1G_P1_1T Missing Alanine (A); Acetone Artifact; Carbamidomethyl	8	6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	68.05	68.05
6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	8	6199.6_Da_E426 P04650_2full51_1G_P1_1T Missing Alanine (A)	87.03	87.03
6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	8	6199.6_Da_E426 P04650_2full51_1G_P1_1T Missing Alanine (A)	16.00	16.00 Ox
6354.69_Da_E756 P04650_2full51_1G_P1_1T Missing Alanine (A); Acetone Artifact; Carbamidomethyl	8	6199.6_Da_E426 P04650_2full51_1G_P1_1T Missing Alanine (A)	155.09	155.09 Acetone Artifact; Carbamidomethyl
6199.6_Da_E426 P04650_2full51_1G_P1_1T Missing Alanine (A)	8	6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	42.05	42.05 Acetyl
6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	8	6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	16.00	16.00 Ox
6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	8	6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	58.04	58.04 Acetyl; Ox
6189.54_Da_E818 P04650_2full51_1G_P6_1T Ox; Ox; Missing Isoleucine (I)	8	6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	31.99	31.99 Ox; Ox
6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	8	P04650_2full51_1G_P6_1T Ox; Ox	0.00	0.00
6318.61_Da_E474 P04650_2full51_1G_P12_1T Ox; Ox; Ox	8	6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	16.00	16.00 Ox
6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	8	6189.54_Da_E818 P04650_2full51_1G_P6_1T Ox; Ox; Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	82.07	82.07
6334.61_Da_E777 P04650_2full51_1G_P12_1T Ox; Ox; Ox; Ox	8	6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	31.99	31.99 Ox; Ox
6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	8	6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	129.08	129.08
6400.59_Da_E1591 P04650_2full51_1G_P14_1T Ammonia loss; Ox; Retained Met	8	6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	97.97	97.97 Sulfate Adduct
6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	8	6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	87.03	87.03
6400.59_Da_E1591 P04650_2full51_1G_P14_1T Ammonia loss; Ox; Retained Met	8	6368.59_Da_E470 P04650_2full51_1G_P1_1T Sulfate Adduct	31.99	31.99 Ox; Ox
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	P04650_2full51_1G_P2_1T Ox	98.07	98.07 Acetone Artifact
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	211.15	211.15
6384.7_Da_E788 P04650_2full51_1G_P2_1T Ox; Acetone Artifact	8	6354.69_Da_E756 P04650_2full51_1G_P1_1T Missing Alanine (A); Acetone Artifact; Carbamidomethyl	30.01	30.01 Pyrrolidinone
6318.61_Da_E474 P04650_2full51_1G_P12_1T Ox; Ox; Ox	8	P04650_2full51_1G_P12_1T Ox; Ox	15.99	15.99 Ox
6334.61_Da_E777 P04650_2full51_1G_P12_1T Ox; Ox; Ox; Ox	8	6318.61_Da_E474 P04650_2full51_1G_P12_1T Ox; Ox; Ox	16.00	16.00 Ox
6318.61_Da_E474 P04650_2full51_1G_P12_1T Ox; Ox; Ox	8	6189.54_Da_E818 P04650_2full51_1G_P6_1T Ox; Ox; Missing Isoleucine (I)	129.08	129.08
6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	8	6157.54_Da_E1727 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	8	6157.54_Da_E1727 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	129.08	129.08
6368.7_Da_E1761 P04650_2full51_1G_P1_1T Acetone Artifact	8	6157.54_Da_E1727 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	211.15	211.15
6368.7_Da_E1761 P04650_2full51_1G_P1_1T Acetone Artifact	8	6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	8	6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	16.00	16.00 Ox
6302.62_Da_E1697 P04650_2full51_1G_P6_1T Ox; Ox	8	6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	31.99	31.99 Ox; Ox
6310.66_Da_E2103	8	6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	40.03	40.03
6368.7_Da_E1761 P04650_2full51_1G_P1_1T Acetone Artifact	8	6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	82.07	82.07
6368.7_Da_E1761 P04650_2full51_1G_P1_1T Acetone Artifact	8	6310.66_Da_E2103	58.04	58.04
6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	8	P04650_2full51_1G_P2_1T Ox	-113.08	-113.08 Missing Isoleucine (I)
6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	8	P04650_2full51_1G_P2_1T Ox	-71.04	-71.04 Missing Alanine (A)
6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	8	6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	42.05	42.05 Acetyl
6189.54_Da_E818 P04650_2full51_1G_P6_1T Ox; Ox; Missing Isoleucine (I)	8	6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	16.00	16.00 Ox
6334.61_Da_E777 P04650_2full51_1G_P12_1T Ox; Ox; Ox; Ox	8	P04650_2full51_1G_P12_1T Ox; Ox	31.98	31.98 Ox; Ox
6400.59_Da_E1591 P04650_2full51_1G_P14_1T Ammonia loss; Ox; Retained Met	8	P04650_2full51_1G_P14_1T Ammonia loss; Ox	131.00	131.00 Retained Met
6189.54_Da_E818 P04650_2full51_1G_P6_1T Ox; Ox; Missing Isoleucine (I)	8	P04650_2full51_1G_P6_1T Ox; Ox	-113.08	-113.08 Missing Isoleucine (I)
6302.62_Da_E1697 P04650_2full51_1G_P6_1T Ox; Ox	8	P04650_2full51_1G_P6_1T Ox; Ox	0.00	0.00
6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	8	P04650_2full51_1G_P4_1T Ox	0.00	0.00
6302.62_Da_E1697 P04650_2full51_1G_P6_1T Ox; Ox	8	6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	16.00	16.00 Ox
6384.62_Da_E1901 P04650_2full51_1G_P5_1T Ammonia loss; Retained Met	8	6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	97.99	97.99 Sulfate Adduct
6384.62_Da_E1901 P04650_2full51_1G_P5_1T Ammonia loss; Retained Met	8	P04650_2full51_1G_P5_1T Ammonia loss	131.03	131.03 Retained Met
6637.99_Da_E1710	12	6620.98_Da_E2246	17.00	17.00
14567.82_Da_E93 P06367_2full137_1G_P4_1T Acetyl	9	14510.8_Da_E11 P06367_2full137_1G_P1_1T Acetone Artifact; Missing Leucine (L)	57.03	57.03 Carbamidomethyl
14525.8_Da_E129 P06367_2full137_1G_P1_1T Unmodified	9	14510.8_Da_E11 P06367_2full137_1G_P1_1T Acetone Artifact; Missing Leucine (L)	14.99	14.99 Acetone Artifact; Missing Leucine (L)
14567.82_Da_E93 P06367_2full137_1G_P4_1T Acetyl	9	P06367_2full137_1G_P4_1T Acetyl	0.00	0.00
14583.83_Da_E308 P06367_2full137_1G_P8_1T Acetyl; Ox	9	14567.82_Da_E93 P06367_2full137_1G_P4_1T Acetyl	16.00	16.00 Ox
14593.85_Da_E494	9	14567.82_Da_E93 P06367_2full137_1G_P4_1T Acetyl	26.02	26.02
14525.8_Da_E129 P06367_2full137_1G_P1_1T Unmodified	9	P06367_2full137_1G_P1_1T Unmodified	-0.02	-0.02
14583.83_Da_E308 P06367_2full137_1G_P8_1T Acetyl; Ox	9	14525.8_Da_E129 P06367_2full137_1G_P1_1T Unmodified	58.04	58.04 Acetyl; Ox
14573.79_Da_E1254 P06367_2full137_1G_P6_1T Ox; Ox; Ox	9	14525.8_Da_E129 P06367_2full137_1G_P1_1T Unmodified	47.99	47.99 Ox; Ox; Ox
14593.85_Da_E494	9	14525.8_Da_E129 P06367_2full137_1G_P1_1T Unmodified	68.05	68.05
14583.83_Da_E308 P06367_2full137_1G_P8_1T Acetyl; Ox	9	P06367_2full137_1G_P8_1T Acetyl; Ox	0.00	0.00
14573.79_Da_E1254 P06367_2full137_1G_P6_1T Ox; Ox; Ox	9	P06367_2full137_1G_P6_1T Ox; Ox	15.99	15.99 Ox
14588.79_Da_E388 P06367_2full137_1G_P5_1T Ammonia loss; Phospho	9	14573.79_Da_E1254 P06367_2full137_1G_P6_1T Ox; Ox; Ox	14.99	14.99 Deamidation; Methyl
14588.79_Da_E388 P06367_2full137_1G_P5_1T Ammonia loss; Phospho	9	P06367_2full137_1G_P5_1T Ammonia loss	79.99	79.99 Phospho
14607.84_Da_E191 P06367_2full137_1G_P11_1T Ammonia loss; Deamidation; Acetone Artifact	9	P06367_2full137_1G_P11_1T Ammonia loss; Deamidation	98.07	98.07 Acetone Artifact
12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	23	P0CX27_2full106_2G_P3_1T Methyl; Methyl	0.00	0.00
12668.2_Da_E100 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact	23	12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	98.07	98.07 Acetone Artifact
12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	23	12513.1_Da_E597 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetyl; Missing Valine (V)	57.03	57.03 Acetyl; Missing Valine (V)
12810.02_Da_E488	23	12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	239.90	239.90
12654.19_Da_E233 P0CX27_2full106_2G_P2_1T Methyl; Acetone Artifact	23	12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	84.05	84.05 Acetyl; Acetyl
12638.17_Da_E1203 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact; Pyrrolidinone	23	12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	68.05	68.05 Acetone Artifact; Pyrrolidinone
12668.2_Da_E100 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact	23	P0CX27_2full106_2G_P3_1T Methyl; Methyl	98.07	98.07 Acetone Artifact
12586.16_Da_E302 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Ox	23	P0CX27_2full106_2G_P3_1T Methyl; Methyl	16.02	16.02 Ox
12668.2_Da_E100 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact	23	12513.1_Da_E597 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetyl; Missing Valine (V)	155.09	155.09 Acetone Artifact; Carbamidomethyl
12668.2_Da_E100 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact	23	12654.19_Da_E233 P0CX27_2full106_2G_P2_1T Methyl; Acetone Artifact	14.02	14.02 Methyl
12668.2_Da_E100 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact	23	12638.17_Da_E1203 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact; Pyrrolidinone	30.01	30.01 Pyrrolidinone
12654.19_Da_E233 P0CX27_2full106_2G_P2_1T Methyl; Acetone Artifact	23	P0CX27_2full106_2G_P2_1T Methyl	98.07	98.07 Acetone Artifact
15261.81_Da_E14 P36105_2full138_1G_P4_1T Acetyl	17	P36105_2full138_1G_P4_1T Acetyl	0.00	0.00
15359.89_Da_E135 P36105_2full138_1G_P4_1T Acetyl; Acetone Artifact	17	15261.81_Da_E14 P36105_2full138_1G_P4_1T Acetyl	98.07	98.07 Acetone Artifact
15277.81_Da_E169 P36105_2full138_1G_P8_1T Acetyl; Ox	17	15261.81_Da_E14 P36105_2full138_1G_P4_1T Acetyl	16.00	16.00 Ox
15261.81_Da_E14 P36105_2full138_1G_P4_1T Acetyl	17	15204.8_Da_E108 P38754_2full138_1G_P2_1T Ox; Ammonia loss	57.03	57.03 Methyl; Missing Alanine (A)
15261.81_Da_E14 P36105_2full138_1G_P4_1T Acetyl	17	15247.8_Da_E39 P38754_2full138_1G_P4_1T Acetyl	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
15287.83_Da_E464	17	15261.81_Da_E14 P36105_2full138_1G_P4_1T Acetyl	26.02	26.02
15359.89_Da_E135 P36105_2full138_1G_P4_1T Acetyl; Acetone Artifact	17	P36105_2full138_1G_P4_1T Acetyl	98.07	98.07 Acetone Artifact
15261.8_Da_E1848 P36105_2full138_1G_P4_1T Acetyl	17	P36105_2full138_1G_P4_1T Acetyl	-0.02	-0.02
15359.89_Da_E135 P36105_2full138_1G_P4_1T Acetyl; Acetone Artifact	17	15277.81_Da_E169 P36105_2full138_1G_P8_1T Acetyl; Ox	82.07	82.07
15359.89_Da_E135 P36105_2full138_1G_P4_1T Acetyl; Acetone Artifact	17	15204.8_Da_E108 P38754_2full138_1G_P2_1T Ox; Ammonia loss	155.09	155.09 Acetone Artifact; Carbamidomethyl
15359.89_Da_E135 P36105_2full138_1G_P4_1T Acetyl; Acetone Artifact	17	15344.86_Da_E270	15.02	15.02
15277.81_Da_E169 P36105_2full138_1G_P8_1T Acetyl; Ox	17	P36105_2full138_1G_P8_1T Acetyl; Ox	0.00	0.00
15277.81_Da_E169 P36105_2full138_1G_P8_1T Acetyl; Ox	17	15247.8_Da_E39 P38754_2full138_1G_P4_1T Acetyl	30.01	30.01 Carbamidomethyl; Missing Serine (S)
15204.8_Da_E108 P38754_2full138_1G_P2_1T Ox; Ammonia loss	17	P38754_2full138_1G_P2_1T Ox	-17.00	-17.00 Ammonia loss
15302.88_Da_E364 P38754_2full138_1G_P2_1T Ox; Ammonia loss; Acetone Artifact	17	15204.8_Da_E108 P38754_2full138_1G_P2_1T Ox; Ammonia loss	98.07	98.07 Acetone Artifact
15247.8_Da_E39 P38754_2full138_1G_P4_1T Acetyl	17	P38754_2full138_1G_P4_1T Acetyl	0.00	0.00
15287.83_Da_E464	17	15247.8_Da_E39 P38754_2full138_1G_P4_1T Acetyl	40.03	40.03
15344.86_Da_E270	17	15247.8_Da_E39 P38754_2full138_1G_P4_1T Acetyl	97.07	97.07
15344.86_Da_E270	17	15287.83_Da_E464	57.03	57.03
15344.86_Da_E270	17	15231.77_Da_E591	113.09	113.09
14629.94_Da_E37 Q3E7Y3_2full130_1G_P3_2T Ammonia loss; Ox	11	14613.96_Da_E489 Q3E7Y3_2full130_1G_P3_2T Ammonia loss	16.00	16.00 Ox
14645.97_Da_E89 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	11	14613.96_Da_E489 Q3E7Y3_2full130_1G_P3_2T Ammonia loss	31.99	31.99 Ox; Ox
14714.03_Da_E974 Q3E7Y3_2full130_1G_P3_2T Ox; Ox	11	14613.96_Da_E489 Q3E7Y3_2full130_1G_P3_2T Ammonia loss	100.08	100.08 Deamidation; Missing Threonine (T)
14645.97_Da_E89 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	11	Q3E7Y3_2full130_1G_P3_2T Ox; Ox	-17.03	-17.03 Ammonia loss
14677.98_Da_E400 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Ox; Ox	11	14645.97_Da_E89 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	31.99	31.99 Ox; Ox
14928.13_Da_E407 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Hydrogen Dodecyl Sulfate; Ox	11	14645.97_Da_E89 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	282.15	282.15 Hydrogen Dodecyl Sulfate; Ox
14714.03_Da_E974 Q3E7Y3_2full130_1G_P3_2T Ox; Ox	11	14645.97_Da_E89 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	68.05	68.05 Ammonia loss; Ammonia loss; Ammonia loss; Ammonia loss
14645.99_Da_E1659 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	11	Q3E7Y3_2full130_1G_P3_2T Ox; Ox	-17.00	-17.00 Ammonia loss
14944.13_Da_E691 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Ox; Ox; Hydrogen Dodecyl Sulfate	11	14677.98_Da_E400 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Ox; Ox	266.15	266.15 Hydrogen Dodecyl Sulfate
14944.13_Da_E691 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Ox; Ox; Hydrogen Dodecyl Sulfate	11	14928.13_Da_E407 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Hydrogen Dodecyl Sulfate; Ox	16.00	16.00 Ox
14928.13_Da_E407 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Hydrogen Dodecyl Sulfate; Ox	11	14911.13_Da_E1200 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss; Hydrogen Dodecyl Sulfate; Ox; Ammonia loss	17.00	17.00 Ammonia loss
14645.99_Da_E1659 Q3E7Y3_2full130_1G_P3_2T Ox; Ox; Ammonia loss	11	14629.99_Da_E1493 Q3E7Y3_2full130_1G_P2_2T Ox; Ammonia loss	16.00	16.00 Ox
14629.99_Da_E1493 Q3E7Y3_2full130_1G_P2_2T Ox; Ammonia loss	11	Q3E7Y3_2full130_1G_P2_2T Ox	-17.00	-17.00 Ammonia loss
14744.95_Da_E575 Q3E7Y3_2full130_1G_P2_2T Ox; Sulfate Adduct	11	Q3E7Y3_2full130_1G_P2_2T Ox	97.96	97.96 Sulfate Adduct
14629.99_Da_E508 Q3E7Y3_2full130_1G_P2_2T Ox; Ammonia loss	11	Q3E7Y3_2full130_1G_P2_2T Ox	-17.00	-17.00 Ammonia loss
14744.95_Da_E575 Q3E7Y3_2full130_1G_P2_2T Ox; Sulfate Adduct	11	14728.97_Da_E98 Q3E7Y3_2full130_1G_P1_2T Sulfate Adduct	16.00	16.00 Ox
14728.97_Da_E98 Q3E7Y3_2full130_1G_P1_2T Sulfate Adduct	11	Q3E7Y3_2full130_1G_P1_2T Unmodified	97.96	97.96 Sulfate Adduct
14630.99_Da_E1907 Q3E7Y3_2full130_1G_P1_2T Unmodified	11	Q3E7Y3_2full130_1G_P1_2T Unmodified	0.00	0.00
15837.42_Da_E27 P07281_2full144_1G_P8_1T Ammonia loss; Ox	11	P07281_2full144_1G_P8_1T Ammonia loss; Ox	0.02	0.02
15853.42_Da_E43 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ox	11	15837.42_Da_E27 P07281_2full144_1G_P8_1T Ammonia loss; Ox	16.00	16.00 Ox
15879.43_Da_E67 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Acetyl	11	15837.42_Da_E27 P07281_2full144_1G_P8_1T Ammonia loss; Ox	42.01	42.01 Acetyl
15869.41_Da_E120 P07281_2full144_1G_P6_1T Deamidation; Ox; Methyl	11	15837.42_Da_E27 P07281_2full144_1G_P8_1T Ammonia loss; Ox	31.99	31.99 Ox; Ox
15837.42_Da_E27 P07281_2full144_1G_P8_1T Ammonia loss; Ox	11	15820.38_Da_E418 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ammonia loss	17.03	17.03 Ammonia loss
15863.44_Da_E35 P07281_2full144_1G_P4_1T Ammonia loss; Acetyl	11	15837.42_Da_E27 P07281_2full144_1G_P8_1T Ammonia loss; Ox	26.02	26.02
15879.43_Da_E67 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Acetyl	11	P07281_2full144_1G_P8_1T Ammonia loss; Ox	42.04	42.04 Acetyl
15837.42_Da_E252 P07281_2full144_1G_P8_1T Ammonia loss; Ox	11	P07281_2full144_1G_P8_1T Ammonia loss; Ox	0.02	0.02
15820.38_Da_E418 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ammonia loss	11	P07281_2full144_1G_P8_1T Ammonia loss; Ox	-17.00	-17.00 Ammonia loss
15853.42_Da_E43 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ox	11	P07281_2full144_1G_P8_1T Ammonia loss; Ox	16.02	16.02 Ox
15869.41_Da_E120 P07281_2full144_1G_P6_1T Deamidation; Ox; Methyl	11	15853.42_Da_E43 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ox	16.00	16.00 Ox
15895.43_Da_E172 P07280_2full144_1G_P5_1T Deamidation; Ox; Methyl	11	15853.42_Da_E43 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ox	42.01	42.01 Acetyl
15879.43_Da_E67 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Acetyl	11	15853.42_Da_E43 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Ox	26.02	26.02
15895.43_Da_E172 P07280_2full144_1G_P5_1T Deamidation; Ox; Methyl	11	15879.43_Da_E67 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Acetyl	16.00	16.00 Ox
15879.43_Da_E67 P07281_2full144_1G_P8_1T Ammonia loss; Ox; Acetyl	11	15863.44_Da_E35 P07281_2full144_1G_P4_1T Ammonia loss; Acetyl	16.00	16.00 Ox
15869.41_Da_E120 P07281_2full144_1G_P6_1T Deamidation; Ox; Methyl	11	P07281_2full144_1G_P6_1T Deamidation; Ox	14.01	14.01 Methyl
15895.43_Da_E172 P07280_2full144_1G_P5_1T Deamidation; Ox; Methyl	11	15869.41_Da_E120 P07281_2full144_1G_P6_1T Deamidation; Ox; Methyl	26.02	26.02
15863.44_Da_E35 P07281_2full144_1G_P4_1T Ammonia loss; Acetyl	11	P07281_2full144_1G_P4_1T Ammonia loss	42.04	42.04 Acetyl
